标题,作者,年份,摘要,卷号,期号,期刊
数字经济如何影响中国经济高质量发展?,李宗显;杨千帆;,2021,"作为技术高度密集的经济形态,数字经济的快速发展对全要素生产率(TFP)产生了重要影响。首先在理论层面梳理了数字经济影响TFP的内在机理,然后采用2011-2018年中国城市面板数据对具体作用效果和作用机制进行实证检验。结果表明,数字经济发展有效推动了TFP增长,该结论在考虑内生性和经济惯性之后依然成立。技术创新和要素配置效率是数字经济影响TFP的中介渠道。进一步研究发现,数字经济的作用效果具有正向空间溢出效应,有助于提升邻近城市TFP水平。此外,数字经济的作用效果在2015年之后得到强化;相比于中西部城市和外围城市,东部城市和中心城市所享受的数字经济发展红利更加明显。因此,政府应加大对数字基础设施的投资力度,夯实数字技术基础,进一步拓展数字经济与实体经济融合的广度和深度。",,07,现代经济探讨
中国数字经济发展水平及演变测度,王军;朱杰;罗茜;,2021,"研究目标:科学建构数字经济发展水平指标体系,深入剖析数字经济发展时空演变特征。研究方法:基于2013～2018年30个省份的面板数据,构建数字经济发展水平评价指标体系,应用熵值法赋予权重,并采取描述性统计、泰尔指数、自然间断点分级法、莫兰指数等方法进行实证分析。研究发现:中国数字经济发展水平逐年递增,但四大区域和五大经济带之间存在显著的异质性,其中差距来源于区域间和区域内两大方面,且东部区域的贡献最大;空间上呈现""东—中—西""及""沿海—内陆""依次递减之势,大部分地区处于低水平区且长期无跃迁保持稳态,数字经济发展的不充分与不平衡问题依然严峻。研究创新:测算了中国数字经济发展水平,并对总体、四大区域及五大经济带做时空测度。研究价值:丰富和完善中国数字经济指标体系的建构与测度,为中国数字经济相关政策的制定提供理论支撑。",38,07,数量经济技术经济研究
企业数字化转型与资本市场表现——来自股票流动性的经验证据,吴非;胡慧芷;林慧妍;任晓怡;,2021,"数字化转型赋予了企业新的发展动能,这能否进一步改善企业在资本市场中的表现?本文基于中国上市企业2007～2018年数据,借助爬虫技术归集企业年报中的""数字化转型""关键词,创新性地刻画出企业数字化转型强度,实证检验企业数字化转型对股票流动性的影响及其渠道机制。研究发现,企业数字化转型显著提升了股票流动性,并呈现出一定结构异质性特征,上述结论在经过一系列稳健性检验后依旧成立。渠道机制表明,企业数字化转型程度的提高,一是能改善信息不对称并强化市场的正面预期,二是促进企业研发投入与创新产出绩效提升,三是提升企业价值和财务稳定性,这些都有助于提升企业股票流动性水平。本文还发现,企业数字化转型效力的发挥需要外部基础条件的支撑。在金融科技、数字金融发展较好情况下,企业数字化转型对股票流动性的提升作用更为明显。本文可为理解资本市场中微观主体流动性提供线索,并为更好地驱动企业数字化转型提供相关启示。",37,07,管理世界
数字经济发展、经济结构转型与跨越中等收入陷阱,戚聿东;褚席;,2021,"当下,中国经济正处于发展模式转型和新旧动能转换的关键阶段,能否顺利跨越中等收入陷阱已成为普遍关心的重要问题;而以人工智能、区块链、云计算、大数据等数字技术驱动和以数字经济蓬勃兴起为主要内容的第四次工业革命,为中国经济""变道超车""以及跨越中等收入陷阱提供了重要机遇。文章基于经济结构转型的视角研究数字经济发展推动经济增长的理论机理,从需求侧和供给侧两个方面解析了数字经济发展对于经济增长的现实意义,并提出了经济数字化转型趋势下跨越中等收入陷阱的中国方案。研究表明:(1)数字经济与实体经济深度融合所带来的发展方式转变、产业结构优化、增长动能转换是跨越中等收入陷阱的关键。(2)从供给侧来看,数字经济可以从三个方面来提升供给侧的质量与效率,推动供给侧结构性改革与经济增长,即供给体系的优质、高效、多样化,创新体系的网络化、开放化、协同化,制造模式的模块化、柔性化、社会化。(3)从需求侧来看,数字经济能够通过改变市场投资方向、推动消费升级、培育出口优势来助力""三驾马车""的新动能。(4)顺利跨越中等收入陷阱,应该适应发展阶段演替的基本规律,推动经济增长动力根本性转变;强化数据要素作为数字经济的支撑作用,助推数字经济高质量发展;促进数字经济与实体经济融合,加快数字产业化和产业数字化进程。",47,07,财经研究
数字经济与乡村产业融合发展的机制创新,陈一明;,2021,"数字经济与乡村产业的融合发展,能通过有效发挥二者的多样化功能,循序渐进地推动乡村产业发展,助力农业农村供给侧结构性改革,进而不断提升产业投入产出效率和发展效益,创造良性的竞争环境,增强""三农""发展的内生动力。已有实践和本文研究证明,二者融合发展能通过科技创新的技术协同作用,发挥信息技术创新中的乘数效应和溢出效应,获得更高质量的产出,并推动新旧动能转换,实现可持续发展。但现阶段中国数字经济与乡村产业的融合发展存在融合发展程度不深、范围不广、方式不全、支撑不足等问题,故亟待构建和完善引导激励机制、多方协同投入机制、科学评价机制、人才培育机制以及法律法规的机制创新,进而全面有效推进乡村振兴,加快农业农村现代化发展。",,12,农业经济问题
数字经济对区域协调发展的影响效应及作用机制,钟文;郑明贵;,2021,"数字经济所引发的技术创新与进步具有渗透性特征,能够改变生产要素比例与种类,逐渐替换传统落后生产要素,重构分工协作体系,提高生产力,是区域协调发展的重要依托。基于数字经济对产业结构升级影响的视角,利用2006～2019年中国省级面板数据,在测度数字经济与区域协调发展综合水平的基础上,运用面板固定效应模型、空间计量模型与中介效应模型,多维度实证检验数字经济影响区域协调发展的效应及作用机制,结果表明:数字经济显著促进了区域协调发展,但存在明显的区域异质性与空间溢出效应,相关结论在稳健性检验与内生性处理后依然成立;产业结构升级是数字经济影响区域协调发展的重要作用机制。具体而言,在区域异质性上,东部地区数字经济对区域协调发展的积极效应强于中西部地区;空间溢出分析显示,我国不仅存在外生的数字经济交互效应,也存在区域协调发展的内生交互效应;传导机制分析则表明,助推产业结构升级是数字经济释放区域协调发展红利的重要路径。",38,04,深圳大学学报(人文社会科学版)
数字经济、市场整合与企业创新绩效,侯世英;宋良荣;,2021,"将数字经济、市场整合与企业创新绩效纳入同一分析框架,利用2013—2018年沪深A股高新技术产业上市公司的面板数据,实证检验了数字经济和市场整合对企业创新绩效的影响机制及路径。研究结果表明:数字经济和市场整合都有利于促进企业创新绩效的提升,并且数字经济对市场整合的创新激励效应有正向的调节作用,在一系列稳健性检验后这一结论仍然成立。进一步机制分析结果表明:市场整合主要通过促进创新要素流动来影响企业创新绩效,对技术多元化的影响不显著,而数字经济则主要通过技术多元化渠道来影响企业创新绩效。此外,企业特征差异并未改变数字经济和市场整合的创新效应,但数字经济和市场整合对非国有企业和成熟期企业的边际效应更强。",,06,当代财经
制造业行业数字化转型与其出口技术复杂度提升,党琳;李雪松;申烁;,2021,"数字化转型是推动制造业升级的重要动力,不断提升制造业行业出口技术复杂度是加快建设制造业强国的重要抓手。本文基于2008—2015年49个国家的网络就绪指数和这些国家15个制造业行业投入产出数据以及通过产品层面计算得到的行业国际贸易数据,构建了可用于国际比较的行业数字化转型指标。运用国家、行业、时间多维固定效应模型研究了制造业行业数字化转型对其出口技术复杂度提升的效应,并进行了稳健性检验和内生性检验。通过识别国家网络就绪指数的门槛效应,证明了制造业行业数字化转型对其出口技术复杂度的影响具有显著的非线性特征,如果一国网络就绪指数高于5.14,则提升效应会明显加大;分位数回归模型的估计结果表明,制造业行业数字化转型对出口技术复杂度较高的行业具有更大的正向提升效应;行业异质性检验结果表明,该提升效应仅存在于那些具有中高研发密度或资本密集型的行业;通过区分同一行业内中间品与最终品的结果显示,制造业行业数字化转型对中间品出口技术复杂度的提升效应明显高于最终品。",,06,国际贸易问题
中国数字化转型的理论阐释与运行机制,翟云;蒋敏娟;王伟玲;,2021,"""数字化转型""是具有高度中国实践特色的概念,它指国家运作系统中的政治、经济、文化、社会、生态文明建设的全域数字化。基于现有文献甄别研判和国内外数字化转型动态,从高效性、增值性、全局性和开放性四个维度探析数字化转型引领国家治理现代化的作用机理。从总体框架来看,数字经济、数字政府、数字社会、数字生态各有独立范畴,构成了中国数字化转型的""一体四翼""。数据是数字化转型的动力源,精准定位数据赋能场域,及时洞察并消解长期桎梏数据要素活力的沉疴,方可为国家治理现代化提供活水源泉。展望未来,还需从宏观层面及早谋划数字化转型的制度体系框架和建构微观层面的数字生态系统。这样的建构逻辑为后续绘就""十四五""规划蓝图和全面建设社会主义现代化国家奠定可以因循的理论借鉴和框架基础。",,06,电子政务
创新生态系统理论视角下的农业数字化转型：驱动因素、战略框架与实施路径,易加斌;李霄;杨小平;焦晋鹏;,2021,"本文以创新生态系统理论为基础,自上而下分析了农业数字化转型的驱动因素,进而解析并构建了农业数字化转型的战略框架和实施路径。研究发现,农业数字化转型的驱动因素包含了国家政策层面的制度支持、农业产业层面的价值驱动、新型农业经营主体与科技企业层面的发展推动以及消费者对美好生活向往的需求拉动四个方面,形成了从宏观制度→中观产业→微观企业和消费者需求有机统一的农业数字化转型的动力机制。基于农业产业创新生态系统的价值链构成要素和数字化农业经济循环系统与价值链主体的协同发展,农业数字化转型的战略框架由农业生产数字化和消费数字化构成的生产经营全过程数字化转型、围绕农业产业链上下游形成农业配套服务数字化转型和数字经济与农业深度融合的农业价值链延伸产业数字化发展三大战略模块构成。农业数字化转型要构建""环境—网络—主体—要素""协同创新四位一体的实施路径,包括营造农业数字化转型的协同创新环境,优化农业数字化转型的产业价值创新网络,增强农业数字化转型的价值主体间协同创新能力,强化农业数字化转型的协同创新要素支撑。",,07,农业经济问题
数字经济反垄断监管的几点思考,王晓晔;,2021,"为遏制数字巨头基于互联网平台的网络效应、规模经济和大数据而拥有的市场势力,欧美国家强化了数字经济领域的反垄断监管,并提出拆分头部企业和数据互操作等激进措施。数字经济领域反垄断监管是世界各反垄断司法辖区面临的新问题,很多措施目前尚无定论,学术和实务界尚存在很大争议。反垄断执法应满足数字经济发展的需求,在程序和实体法方面与时俱进。鉴于数字经济巨头会本能地排除竞争,消灭潜在竞争对手,反垄断执法应密切关注其对小型科技企业的并购活动,禁止其滥用市场势力和不合理的排他行为。强化数字经济反垄断监管是整个国际社会面临的挑战。我国反垄断执法一方面要立足国情,另一方面也要借鉴其他国家的解决方案,以确保和推动我国数字经济可持续和高质量发展。",39,04,法律科学(西北政法大学学报)
数字平台垄断与数字竞争规则的建构,孙晋;,2021,"数字经济在成为我国经济、社会发展核心推动力的同时也对市场竞争秩序带来了一定的挑战,数字平台垄断问题尤为突出。与传统企业形态相比,数字平台拥有在基础技术和商业模式上不同的动态特征,传统反垄断规则及其分析工具在界定关涉数字平台相关商品市场、认定市场支配地位以及审查经营者集中时所面临的挑战愈发明显,健全数字竞争规则对此予以回应确有必要。《平台经济领域的反垄断指南》的出台恰逢其时,《指南》将数字平台的特征纳入反垄断分析框架进行必要的规则调适,对传统分析工具的修正可以提高其在平台经济领域适用的精准度,并引导平台企业竞争合规。囿于《指南》的低位阶和软法属性,需要通过《反垄断法》的修订补强数字竞争规则。",39,04,法律科学(西北政法大学学报)
数字化能否促进经济增长与高质量发展——来自中国省级面板数据的经验证据,范合君;吴婷;,2021,"本文选取2014—2017年省级相关样本数据,从生产数字化、消费数字化和流通数字化三个维度构建数字化指标体系。通过DEA-Malmquist指数法计算出各省级行政区的全要素生产率指数来衡量发展质量,并进一步分解出技术效率变动指数与技术进步变动指数,进而探究数字化对高质量发展的影响机制。研究发现,数字化可以显著促进中国经济增长与高质量发展。其中,对全要素生产率和技术效率的增长具有显著正向影响,而对技术进步的发展没有显著影响。通过进一步验证教育水平和资本水平对数字化的调节作用,发现教育水平可以加强数字化对经济增长的促进作用,资本水平可以加强数字化对全要素生产率的促进作用。本文提出,加强数字化建设是实现经济增长与高质量发展的必由之路。",34,03,管理学刊
数字经济发展提升了城市生态效率吗?——基于产业结构升级视角,梁琦;肖素萍;李梦欣;,2021,"数字经济作为新技术革命引致的新经济形态,能够通过驱动产业结构升级,有效促进经济生态化、生态经济化。本文基于产业结构升级中介视角,以2011-2018年中国285个城市为样本考察了数字经济对城市生态效率的影响。研究结果表明:(1)数字经济的发展能够显著提升城市的生态效率,这一结论在进行变量替换、分阶段回归以及引入工具变量等稳健性检验后仍然成立。(2)数字经济对生态效率的提升效用存在显著的区域异质性,呈现中部最高、东部次之、西部最低的不平衡空间结构特征。(3)存在数字经济发展→产业结构升级→生态效率提升的中介传导路径,产业结构升级是数字经济作用于中国城市生态效率提升的重要路径。",,06,经济问题探索
中国数字普惠金融与省域经济增长——基于空间计量模型的实证研究,褚翠翠;佟孟华;李洋;费威;,2021,"在数字普惠金融蓬勃发展的时代背景下,探究中国数字普惠金融对省域经济增长的影响,有利于进一步把握数字普惠金融的发展方向,为今后有针对性地制定区域性发展战略提供技术支持。文章利用2011-2018年中国省域面板数据,通过构建空间计量模型探究中国数字普惠金融对省域经济增长的影响。研究结果表明,数字普惠金融发展和经济增长均表现出显著的空间相关性,而且在三种不同形式的空间权重矩阵下结论依旧成立;进一步研究发现,数字普惠金融的发展能够显著促进本省经济增长,但是对临近省份存在负向的空间溢出效应,在经过稳健性检验后上述结论依旧成立。此外,结构分析表明覆盖广度、使用深度以及数字化服务支持程度均能有效促进本省经济增长,但其空间溢出效应并不显著。",,06,经济问题探索
数字经济对中国区域创新产出的影响,夏杰长;姚战琪;徐紫嫣;,2021,"文章以全国面板数据为研究样本,从劳动生产率和地方公共财政支出视角探究数字经济对创新产出的影响以及创新投入的中介效应。研究发现,数字经济规模能显著促进创新投入,从而提高创新产出能力。劳动生产率调节了数字经济与创新投入之间的关系,各地区劳动生产率越高,数字经济对创新投入的促进作用就越强;地方公共财政支出调节了创新投入与创新产出之间的关系,地方公共财政支出占比越高,创新投入转化为创新产出的效率就越高。中西部地区数字经济对创新投入和创新产出的促进作用小于东部地区,但中西部地区的创新投入对创新产出的促进作用大于东部地区。研究结果为促进科技创新以及加快数字经济创新发展提供参考,并提出数字经济促进创新产出的政策建议。",,06,社会科学战线
数字经济与区域经济增长：后发优势还是后发劣势?,杨文溥;,2021,"近年来,以信息和数据为关键生产要素的数字经济为促使经济发展从要素驱动型向数据驱动型转变提供了契机。文章采用面板门限模型,研究了数字经济是否有助于区域经济实现增长式收敛,结果表明:首先,整体上数字经济发展能够促进区域经济增长,且结果较为稳健;其次,数字经济对区域经济增长存在非线性影响,主要表现为对发达地区的促进作用更强,对落后地区的促进作用相对较弱;再次,从产业构成上看,数字经济对第三产业的促进作用更直接,对第二产业的促进作用相对较弱;最后,我国区域间存在数字使用鸿沟和能力鸿沟,在数字经济发展程度较高的地区,数字经济对相关产业的促进作用也更强。因此,把握数字经济战略机遇,注重数字经济均衡发展,优化数字经济公平竞争机制,有利于推动我国区域经济的协调发展。",23,03,上海财经大学学报
企业数字化转型与审计定价,张永珅;李小波;邢铭强;,2021,"企业数字化转型即企业利用新兴技术进行产业升级转型的过程,具有跨界融合、创新驱动、重塑结构和广泛连接等特征,数字化转型改变了企业原有的商业模式,对于企业的治理模式会产生重要影响。本文基于2013～2018年沪深A股上市公司样本,考察了企业数字化转型对审计定价的影响。研究结果表明,企业数字化转型的程度越高,企业财务报告审计收费就越低。本文进一步研究发现审计师的专业胜任能力、企业的产权性质以及产业性质在企业数字化转型中发挥了调节作用。本文的研究丰富了企业数字化转型对企业所产生影响的相关研究,可以为企业数字化转型决策、政府引导企业数字化转型政策制定以及审计师的收费决策提供参考,具有一定的理论价值和现实意义。",,03,审计研究
数字经济、研发投入强度对产业结构升级的影响,姚维瀚;姚战琪;,2021,"在当前疫情持续冲击使得全球产业链受到严重冲击的背景下,中国需要不断促进产业结构升级。本文基于研发投入强度的中介机制以及大学生数量占比和企业规模的调节机制,建立了一个有调节的中介效应模型,为理解数字经济背景下促进中国产业结构升级提供了一定的理论依据。研究发现:(1)数字经济能显著促进中国产业结构升级。(2)研发投入强度是数字经济与产业结构升级的中介变量。(3)大学生数量占比调节了数字经济与研发投入强度的关系,大学生数量占比高的地区研发能力更强。(4)国有企业销售收入占比调节了研发投入强度与产业结构升级的关系,国有企业销售收入占比高的地区产业结构升级效应更显著。据此,应关注数字经济对研发投入强度的促进作用受到大学生数量占比的显著影响,加大对中等规模民营和三资企业的研发资助,提升中西部地区研发投入强度,大力提高数字经济发展水平。",41,05,西安交通大学学报(社会科学版)
数字化水平对企业创新绩效的影响研究——来自沪深A股上市公司的经验证据,黄节根;吉祥熙;李元旭;,2021,"""数字经济""是当前信息技术变革时代的最新发展趋势。在分析数字化水平对企业创新绩效影响的理论机制基础上,利用2015—2019年沪深A股上市公司数据,结合sys-GMM模型和面板门限模型实证分析了数字化水平对企业创新绩效的影响。研究发现:当前我国企业数字化水平和企业创新绩效正向相关,设置了数字资源信息共享平台的企业其促进效应更为显著。不同行业的数字化水平对创新绩效的影响存在显著差异,信息技术业、批发和零售贸易业以及社会服务业三个行业存在门限突变效应,传播与文化业存在门限收敛效应,其他行业并未表现出门限效应。数字化水平对创新绩效的提升存在最优门限值,创新绩效的提升和企业其他治理特征和规划紧密相关,只有两者同时改进才能最终提升创新绩效。因此,我国企业应构建数字化和其他企业资源与管理战略的统筹协调机制,进一步深化数字化转型。",41,05,江西社会科学
数字平台的反垄断监管,孙晋;,2021,"数字平台的动态竞争、跨界经营、网络效应、寡头竞争等特征,使得垄断问题严重且复杂,破坏竞争,损害消费者利益,抑制创新活力,阻碍高质量发展,需要加强反垄断监管。传统监管""一管就死一放就乱""的治乱循环是我国市场监管的痼疾,平台反垄断监管需要避免这一监管悖论。数字平台的双边性市场、动态性竞争和颠覆性创新也需要适配的反垄断监管理论创新——秉持谦抑性理念确立积极的包容审慎监管原则。当下语境的强化监管,并非片面强调从严监管加重责罚,重点在于监管转型,实质在于监管创新,旨在通过监管转型和创新切实改进监管。良法乃善治前提,需要与时俱进加快修订《反垄断法》并配套相关规定渐进健全数字竞争规则,为监管提供高质量制度供给;依据良法积极推进高效的包容审慎监管、公平公正监管、协同整体监管、激励性监管、信用监管和智慧监管,技术赋能监管,是实现平台反垄断监管的善治之道。",,05,中国社会科学
数字经济赋能长三角地区制造业转型升级的效应测度与实现路径,廖信林;杨正源;,2021,"在中国经济增长新旧动能转换之际,数字经济赋能传统制造业逐渐成为长三角地区经济高质量发展的强大驱动力。文章在分析数字经济对制造业转型升级影响机理基础上,利用2015—2019年苏浙沪皖全域41个地级市面板数据,基于熵值法测度样本城市的制造业升级水平和数字经济发展水平,并运用动态面板GMM模型测算了数字经济对制造业升级水平的具体效应,同时利用中介效应模型识别其实现路径。实证结果表明,总体上数字经济赋能制造业转型升级效应和路径显著。具体来看,数字经济通过资源配置优化效应、生产成本降低效应和创新发展驱动效应三条路径推动制造业转型升级。从地理区位异质性上看,由于江苏、浙江产业基础、技术能力和资金较为充裕,数字经济对两地制造业转型升级的影响更为突出。",35,06,华东经济管理
数字经济、人口红利下降与中低技能劳动者权益,柏培文;张云;,2021,"数字经济、人口红利下降的双重背景下,中低技能劳动者权益如何变动?本文分别进行理论与实证研究:理论方面,尝试构建多部门一般均衡模型对其进行分析;实证方面利用2002年、2007年、2008年和2013年CHIP的截面数据,运用双重固定效应模型进行检验。研究发现:其一,数字经济发展挤占了中低技能劳动者相对收入权,但改善了中低技能劳动者相对福利效应;其二,数字经济通过要素重组升级、再配置引致的效率变革与产业智能化削弱了中低技能劳动者的相对收入权,但通过数字化治理模式改善了中低技能劳动者的相对福利效应;其三,人口红利下降的劳动力短缺效应来源于中低技能劳动者,尤其是低技能劳动者的供给陷阱;其四,在人口红利下降背景下,数字经济发展仅削弱了低技能劳动者权益。这意味着,数字经济发展引致的低技能劳动力替代效应远甚于人口红利下降的低技能劳动力短缺效应,且微观个体禀赋、宏观经济环境与政府治理水平对低技能劳动者权益的影响具有明显差异性。",56,05,经济研究
数字经济如何影响企业风险承担水平,陈小辉;张红伟;,2021,"数字经济是中国经济高质量发展的新动能,企业风险承担水平对长期经济增长具有积极意义。那么,数字经济如何影响企业风险承担水平呢?本文在机制分析基础上,基于测算的2010—2018年省级数字经济发展指数,结合上市公司数据进行实证检验,以探究数字经济对企业风险承担水平的影响及其机理。研究结果表明:数字经济可提高企业风险承担水平,随着数字经济发展水平的提高,企业风险承担水平得以提升。其机制在于数字经济具有创新水平拉动效应和融资能力提升效应;数字经济通过提高地区创新水平,增强企业债务融资能力,促进企业风险承担水平的提高。本研究丰富了数字经济的经济影响和企业风险承担水平影响因素的相关文献,对如何提高企业风险承担水平以促进经济增长亦具有一定的启示意义。",43,05,经济管理
数字经济时代的产业组织创新——以数字技术驱动的产业链群生态体系为例,余东华;李云汉;,2021,"数字经济时代,需要把握经济社会发展的新趋势,抓住新一轮科技产业革命带来的契机,采用数字技术推动产业数字化转型,加快产业链、价值链、供应链、创新链等融合发展,优化产业生态,推动产业组织创新。数字技术、数字经济、数字文化和数字基础设施共同构筑产业发展的数字生态,为产业链与产业集群的""多重嵌入""和融合发展提供了动力和平台,产业链与产业集群相互嵌入构建了产业生态圈,产业生态圈与创新生态链融合发展,形成产业链群生态体系。产业链群生态体系是以数字生态为平台、产业生态为核心、创新生态为动力、环境生态为背景的一种新型产业组织形态,具有互补性与合作性、根植性与聚集性、竞争性与演化性、多样性与层次性、开放性与共生性等特征。大数据、工业互联网、人工智能等数字技术能够直接驱动链群组织变革和创新,也能够通过改变企业生态位、加快组织创新、影响组织环境等途径推动产业链群生态体系演化,增强产业组织的环境适应能力。加快数字技术研发和应用,推进产业和产业组织数字化转型,构建产业链群生态体系,能够增强企业竞争优势,提升产业链供应链现代化水平和自主可控能力,提高产业国际竞争力,实现产业高质量发展。",,07,改革
数字经济对消费市场的影响：机制、表现、问题及对策,马玥;,2021,"随着数字技术的进一步发展,数字经济在促进国民经济持续健康发展中发挥了重要作用。新冠肺炎疫情导致全球经济整体下行压力增大,但是中国数字经济却展现出强大活力和韧性,大量新业态、新模式快速涌现,进一步刺激消费市场良性发展,助力中国新发展格局加快形成。然而,数字经济在影响中国消费市场发展过程中仍存在一些问题,主要表现在数字基础设施建设和发展有待强化、数字产业化和产业数字化发展失衡、线上线下融合消费模式渠道不协调、数字市场消费需求未得到有效释放,这些问题可能会削弱其对消费市场发展的积极作用。本文在现有研究的基础上,重点探讨数字经济对消费市场的影响机制及其主要表现,进而提出相应的对策建议,主要有强化基础设施、促进数字经济与实体经济深度融合、线上线下融合发展、升级消费者服务体验,以期更好地促进中国消费市场发展及新发展格局构建。",,05,宏观经济研究
数字经济对区域创新绩效及其空间溢出效应的影响,赵滨元;,2021,"数字化时代的经济运行方式呈现出数据驱动、万物互联、创新迭代的特征,数字经济的数字化、网络化、智能化属性对创新活动产生了深刻影响。运用空间杜宾模型,对361座城市2010-2018年度数据进行实证检验。结果表明,数字经济发展不仅能够带动本地创新绩效提升,而且对周边城市创新绩效也具有显著正向影响;与中、西部地区相比,东部地区数字经济对创新绩效的促进作用更强,空间溢出效应也更显著。由此,建议从挖掘数据要素价值、搭建数字化平台、推动数字技术创新等角度发展数字经济,促进本地区和周边地区创新绩效共同提升。",38,14,科技进步与对策
乡村振兴背景下中国数字农业高质量发展水平测度——基于2015—2019年全国31个省市数据的分析,张鸿;王浩然;李哲;,2021,"数字农业高质量发展是支撑我国农业农村现代化的现实基础,也是实现乡村全面振兴的重要抓手。在乡村振兴背景下,从数字农业发展环境、数字农业信息基础、数字农业人才资源、数字农业技术支持、数字农业绿色发展、数字农业产业效益6个方面出发,构建数字农业高质量发展评价指标体系。运用AHP—熵权法、综合评价模型实证测算并评价了中国2015年至2019年31个省份的数字农业发展情况。结果表明:我国数字农业发展水平逐渐提高,各省份数字农业发展水平存在显著差异,由高到低明显呈现""东—中—西""的阶梯型空间分布格局;西部地区大部分省市的数字农业发展处于中等以下水平,与全国平均水平相比仍存在一定差距。",50,03,陕西师范大学学报(哲学社会科学版)
数字经济下制造业高质量发展的机理和路径,李英杰;韩平;,2021,"随着网络信息技术向制造业融合渗透,制造业逐渐成为数字经济发展的核心领域。目前,我国制造业在产业供给、创新能力、产业链水平、要素结构等方面存在不足。按照数字经济与制造业高质量发展的内涵和特征,两者能够深度融合并推动制造业实现质量变革、效率变革、动力变革。为此,需要采取优化发展环境、健全新型基础设施、加大科技创新力度、完善产业生态、推动产业融合及加强专业人才培养等策略,促进数字经济背景下我国制造业高质量发展。",,05,宏观经济管理
企业管理数字化变革能提升投入产出效率吗,刘淑春;闫津臣;张思雪;林汉川;,2021,"企业对各类数字化转型项目的投资能否切实提升其投入产出效率?本文通过对全国第一个信息化与工业化深度融合国家示范区内1950家企业2015～2019年连续5年推行数字化管理的追踪调查数据,运用随机前沿分析方法和Tobit模型,测度企业数字化投入产出效率,分析影响企业管理数字化变革的关键要素,从而探索企业提升数字化管理效率的内在运行机制。研究发现,企业管理在数字化变革过程中的资本产出弹性远高于劳动产出弹性,二者投入对数字化效益产生的影响随时间发生改变;数字化转型投资项目的投资效率具有明显异质性特征,同时会随着企业规模的扩大产生相应的递增或递减效果。进一步研究表明,企业数字化投入和效率之间存在非线性关系(先下降、再加速下降直至拐点后上升,且在拐点后呈倒""U""型关系),且投资临界点在100万～200万元之间,走过推行数字化管理动态波动的""阵痛期"",企业数字化管理的先发优势得到显著提升。研究为企业制定数字化管理决策和政府制定企业数字化政策体系提供了经验证据和决策支持,并对在全国范围内进一步推进企业数字化变革具有重要的理论和现实指导意义。",37,05,管理世界
数字平台反垄断的基本导向与体系创新,唐要家;,2021,"数字平台的发展会产生强可维持垄断势力并具有多重经济社会危害。为了维护数字平台市场竞争,需要重新定位反垄断基本导向,创新反垄断审查程序和竞争损害理论,并全面提升反垄断执法效能。数字平台反垄断应建立系统、协同、高效的反垄断执法体制,重点强化预防性事前监管,加强支配平台行为规则监管和算法代码规则监管,确保数据开放共享和消费者隐私权,并灵活运用多种政策手段以实现反垄断政策工具的最佳组合。",,05,经济学家
数字经济赋能中国“双循环”战略:内在逻辑与实现路径,李天宇;王晓娟;,2021,"新冠肺炎疫情给中国经济带来了较大冲击,但是却激发了数字经济的全面提速,数字经济成为对冲疫情影响、促进经济企稳回升和构建国内国际双循环发展格局的重要力量。在后疫情时代,要抓住数字经济发展带来的战略机遇,把握数字经济赋能中国""双循环""战略的底层逻辑和顶层设计,把我国市场优势和数据优势结合起来,充分发挥数字经济的规模效应,为我国经济""双循环""战略的实施开启新局面。本文从数字经济本质特征和中国经济""双循环""战略的深刻内涵出发,在厘清两者内在基本逻辑的基础上,探讨了数字经济赋能中国""双循环""战略的现实路径,提出在后疫情时代应通过数字经济的广泛赋能,推动加快形成以国内大循环为主体、国内国际双循环相互促进的新发展格局。",,05,经济学家
动态能力研究述评及开展中国情境化研究的建议,焦豪;杨季枫;应瑛;,2021,"企业所拥有资源和能力如何与所处环境动态匹配是战略管理领域研究的核心问题。动态能力理论拓展了资源基础学派的静态研究视角,以演化视角克服核心刚性缺陷,通过资源整合和重构进行战略革新获取动态环境下的可持续竞争优势,越来越受到学术界和实务界的重视。本研究通过系统梳理1997～2019年发表在Web of Science核心合集的666篇英文文献,从论文发表趋势、期刊发表平台、核心学者和关键节点文献、研究热点演进等方面呈现动态能力研究概况。在此基础上,聚焦分析发表在17个国际期刊上的84篇英文文献,构建基于""研究视角—影响因素—作用过程—影响效应""的动态能力整合研究框架。最后,在对比中英文代表性文献基础上,提出应采用二手数据分析、行为实验与仿真模拟等多种研究方法进行动态能力研究,建构动态能力的认知性与非认知性双重微观基础,探究动态能力影响绩效的作用机理和过程机制,揭示动态能力在创新系统构建中的角色定位和作用机制,探析数据驱动的新型企业动态能力的结构维度和发展机制,以及关注中国独特文化与制度情境的嵌入对动态能力研究的影响。",37,05,管理世界
